a,b,2011年　月平均潮位　　1/4,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,単位　　mm,aa,bb,cc
4413.0,宮崎港,地方整備局,967.0,1.0,978.0,,986.0,,1002.0,,1154.0,3.0,1189.0,,1235.0,,1296.0,,1397.0,3.0,1368.0,,1300.0,,1182.0,,1171.16666666,
4414.0,志布志港,地方整備局,1055.0,,1085.0,,1096.0,2.0,1110.0,,1270.0,,1311.0,,1366.0,,1466.0,,1568.0,,1436.0,2.0,1383.0,,1249.0,,1282.91666666,
4502.0,平良港,沖縄総合事務局,1957.0,,2066.0,1.0,2004.0,,2012.0,,2137.0,1.0,2139.0,,2316.0,,2462.0,,2364.0,,2120.0,,1997.0,,2085.0,,2138.25,
4601.0,直江津港,県,1163.0,,1029.0,,1022.0,,－－－,18.0,1110.0,,1200.0,,1290.0,,1402.0,,1343.0,,1321.0,,1269.0,,1162.0,1.0,1210.090909090909,
4608.0,能代港,県,1095.0,,962.0,,951.0,2.0,989.0,1.0,1072.0,,1111.0,,1198.0,1.0,1303.0,,1232.0,,1236.0,1.0,1177.0,3.0,1092.0,,1118.1666666666667,
4401.0,三崎港,県,－－－,,－－－,,－－－,,－－－,21.0,1329.0,2.0,－－－,20.0,－－－,29.0,－－－,,1535.0,8.0,－－－,,－－－,,－－－,11.0,－－－,
4402.0,福山港,県,1952.0,8.0,1953.0,,1983.0,7.0,2019.0,2.0,2148.0,3.0,2245.0,,2301.0,1.0,2388.0,,2464.0,2.0,2357.0,3.0,2262.0,3.0,－－－,11.0,2006.0,
4609.0,津居山港,県,357.0,4.0,277.0,,285.0,,293.0,,429.0,,512.0,,594.0,,708.0,1.0,671.0,,593.0,,526.0,,439.0,,473.6666666666667,
4403.0,明石港,県,1203.0,,1170.0,,1200.0,,1233.0,,1350.0,,1466.0,,1510.0,,1572.0,1.0,1676.0,,1558.0,,1467.0,,1369.0,,1397.8333333333333,
4404.0,東播磨港東二見,県,1081.0,,1048.0,,1077.0,,1112.0,,1229.0,,1345.0,,1389.0,,1469.0,1.0,1570.0,,1456.0,,1363.0,,1261.0,,1283.3333333333333,
4405.0,姫路港飾磨,県,902.0,,878.0,,910.0,1.0,952.0,,1070.0,,1188.0,,1234.0,,1314.0,1.0,1425.0,,1304.0,,1206.0,,1097.0,,1123.3333333333333,
4406.0,水島,県,1923.0,,1917.0,,1974.0,,1982.0,,2119.0,,2215.0,,2266.0,,2366.0,,2446.0,,2331.0,,2244.0,,2122.0,,2158.75,
4407.0,甲浦,県,1084.0,,1059.0,,1062.0,,1081.0,,1190.0,,1327.0,,1375.0,,1440.0,,1582.0,,1478.0,1.0,1382.0,,1296.0,,1279.6666666666667,
4408.0,佐賀港,県,1043.0,,1052.0,,985.0,1.0,1035.0,,1093.0,,1243.0,,1315.0,,1313.0,,1454.0,,1368.0,,1300.0,,1212.0,,1201.0833333333333,
4409.0,御荘港,県,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,故障中
4411.0,今治港,市,1924.0,,1930.0,,1939.0,,1974.0,,2112.0,,2192.0,,2236.0,,2332.0,,2415.0,,2303.0,,2221.0,,2100.0,,2139.8333333333335,
4412.0,観音寺港,県,1986.0,6.0,1991.0,,2011.0,,2041.0,,2174.0,,2260.0,,2316.0,,2412.0,,2488.0,,2378.0,,2294.0,,2175.0,,2210.5,
4801.0,大熊,東京電力,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,,－－－,3.11地震によりデータ取得不可
,* 欄は欠測日数を表します,,,,,,,,,,,,,,,,,,,,,,,,,,,
,月報の数値は暫定的なもので、後に変更される可能性があります（太文字は前月月報の変更箇所） ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,単位：㎜,,,,,,,,,,,,,,,,,,,,,,,,,,,
